Entry,Protein,Gene,Urine,Plasma,Serum
A0A5F5Y5L0,CD27 molecule,CD27,22.2,13.9,14.7
A0A2I2UYF4,CD276 molecule,CD276,22,17.4,17.9
M3XCH2,CD2 associated protein,CD2AP,17,14.3,15.9
A0A337S6R6,CD300 molecule like family member g,CD300LG,25.9,18.4,18.7
A0A5F5Y2H9,CD34 molecule,CD34,21.7,16.9,16.4
A0A337S4N5,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor),CD40,19.2,16.3,17.1
A0A2I2UH63,CD44 antigen (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I),CD44,28,20.9,20.9
A0A337SX28,Leukocyte surface antigen CD47 (Integrin-associated protein),CD47,17.8,16.6,16.4
A0A5F5XDA0,CD58 molecule,CD58,18.9,14,12.7
A0A5F5XQT8,MAC-inhibitory protein (Membrane attack complex inhibition factor) (Protectin),CD59,32.4,20.7,20.8
A0A1E1GEV5,CD5 antigen-like,cd5l AIM,18.6,22.2,21.4
A0A1E1GEW8,CD5 antigen-like,cd5l AIM,17.8,16.9,15.9
Q76B49,CD63 antigen (CD antigen CD63),CD63,20.9,22.8,23.8
A0A2I2UTM6,CD69 molecule,CD69,20.1,15.6,15.1
A0A5F5XTX9,CD80 molecule,CD80,23,20.4,21.1
A0A337S8U6,CD81 molecule,CD81,19,10.1,10.2
A0A337SBU9,Tetraspanin,CD82,20.4,17.8,17.1
A0A337S2I4,CD84 molecule,CD84,23.8,18.8,19
P40239,CD9 antigen (CD antigen CD9),CD9,20.9,18.6,19.2
A0A5F5XPS6,CD93 molecule,CD93,21.6,21.5,21.6
A0A337S9J3,CD99 antigen-like protein 2,CD99L2,22.7,18.3,17.5
A0A337SRW5,Cell division control protein 42 homolog (EC 3.6.5.2),CDC42,21.7,23.2,22.9
A0A5F5XFC6,Cell division cycle 5 like,CDC5L,21.7,21.1,21.3
A0A337SG59,Cadherin-1 (Epithelial cadherin),CDH1,24.4,19.2,19.6
A0A337S5G0,Cadherin-1 (Epithelial cadherin),CDH1,29.8,23.3,23
M3W046,Cadherin 11,CDH11,26.2,21.4,20.8
A0A337SUI1,Cadherin 13,CDH13,26.2,20.9,21.3
A0A337ST48,Cadherin 13,CDH13,27.5,20.8,23.1
A0A5F5XXK1,Cadherin 15,CDH15,22.3,19.9,19.7
A0A337S9Q3,Cadherin 16,CDH16,24.6,22.3,21
A0A5F5Y2W6,Cadherin 17,CDH17,21.1,18.3,17.9
A0A337SSN3,Cadherin 19,CDH19,23.8,20.6,20.2
A0A2I2U9W3,Cadherin-2 (Neural cadherin),CDH2,25.9,25,24.8
A0A337SEZ0,Cadherin 24,CDH24,21.6,15.9,15.6
A0A2I2UB75,Cadherin 3,CDH3,20.5,15.9,16.2
A0A337SGU2,Cadherin-4,CDH4,19.1,16.8,17.1
M3WM81,Cadherin-5 (Vascular endothelial cadherin),CDH5,16,16.5,15.9
A0A337SJ76,Cadherin domain-containing protein,CDH5,21.5,20.5,20.8
A0A337S9H7,Cadherin-6,CDH6,22.7,20.8,21.5
M3VUL6,Cadherin-6,CDH6,17.6,19.3,19.2
A0A2I2USA1,Cadherin 8,CDH8,21.9,18.7,18.8
M3VX11,Cadherin-related family member 1 (Photoreceptor cadherin) (Protocadherin-21),CDHR1,22.5,20.3,19.9
M3VZN4,Cadherin related family member 2,CDHR2,22.8,21.2,21.5
A0A5F5XIV3,Cadherin related family member 5,CDHR5,25.3,22.1,22.8
A0A5F5Y466,Cadherin related family member 5,CDHR5,23.9,16.4,17.4
A0A2I2V2G8,"Cell adhesion associated, onco regulated",CDON,17.5,18.7,17.1
M3X143,Corneodesmosin,CDSN,23,11.4,11.2
A0A5F5Y101,Corneodesmosin,CDSN,28.3,18.6,19
M3WSX6,Chromosome E3 C16orf89 homolog,CE3H16orf89,15.3,15.7,15.5
A0A337S2C9,Ig-like domain-containing protein,CEACAM1,21.9,15.7,14.8
A0A337RVE0,"CEA cell adhesion molecule 16, tectorial membrane component",CEACAM16,20.8,18.4,18.6
M3VUF8,CEA cell adhesion molecule 19,CEACAM19,22.5,14.8,16
M3X096,Carboxylic ester hydrolase (EC 3.1.1.-),CEL,22.6,23.7,23.9
Q5R1M5,Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1),CELA1 ELA1 ELS1,23.9,19.2,19.2
M3X2X6,Centromere protein C,CENPC,21.2,21.4,21.3
M3W105,Carboxylic ester hydrolase (EC 3.1.1.-),CES2,27.4,25.9,25.8
A0A337SQR3,Carboxylic ester hydrolase (EC 3.1.1.-),CES4A,16,14.6,14.7
A0A2I2UFP6,Carboxylic ester hydrolase (EC 3.1.1.-),CES5A CES1,31,22.5,24.6
M3WKH4,Carboxylic ester hydrolase (EC 3.1.1.-),CES5A CES1,20.9,19.5,18.7
Q8I034,Carboxylesterase 5A (EC 3.1.1.1) (Carboxylesterase-like urinary excreted protein) (Cauxin),CES5A CES7,34.4,22.4,23.1
M3W2B8,Complement factor B (EC 3.4.21.47) (C3/C5 convertase),CFB,28,29.8,30
A0A337SQJ3,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),CFD,23.1,23.2,23.1
M3XG35,Complement factor H related 5,CFHR5,21,21.2,21.3
A0A2I2U350,Complement factor I,CFI,24.5,27.5,27.6
M3WIJ6,"Cofilin-1 (Cofilin, non-muscle isoform)",CFL1,22.7,20.6,20.5
A0A337SEF0,Cofilin-2,CFL2,22.8,18.6,19
M3W950,Complement factor properdin,CFP,19.5,23.8,23.6
Q52R91,Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain),CGA,18.1,10.8,10.7
A0A5F5XGZ4,Cingulin like 1,CGNL1,25.8,26.9,27.2
A0A337SFJ9,Chromogranin-A,CHGA,19.5,12.7,11.9
A0A5F5XCZ2,Chromogranin-A,CHGA,21,11,10.7
A0A2I2UDB3,Chitinase-3-like protein 1,CHI3L1,19.5,17.6,17.7
A0A337SU79,Cell adhesion molecule L1 like,CHL1,17.8,18.6,18.7
M3W0W8,Charged multivesicular body protein 2a (Chromatin-modifying protein 2a),CHMP2A,22.8,17.8,18
A0A337S8C4,Charged multivesicular body protein 2B,CHMP2B,19.6,14,15.8
A0A5F5Y7M8,Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24),CHMP3,18.9,19.5,18.9
M3WXJ4,Charged multivesicular body protein 4B,CHMP4B,22.7,20.5,20.8
M3X6F1,Charged multivesicular body protein 5 (Chromatin-modifying protein 5),CHMP5,20.2,13.5,12.6
A0A337SL92,Charged multivesicular body protein 5 (Chromatin-modifying protein 5),CHMP5,22,18.9,18.8
A0A337SGE0,Chondrolectin,CHODL,23.6,19,19.9
M3WI48,Sulfotransferase (EC 2.8.2.-),CHST3,19.2,17.1,16.9
M3WF53,Cartilage intermediate layer protein,CILP,21.9,19.3,19.7
M3WKI3,Cartilage intermediate layer protein 2,CILP2,26.7,22.7,22.4
A0A2I2UED7,Cytoplasmic linker associated protein 1,CLASP1,15.2,15.5,14.2
A0A2I2U6F0,C-type lectin domain containing 11A,CLEC11A,22.7,22.2,22.1
M3VWY2,C-type lectin domain family 4 member G,CLEC4G,21,19.1,18.7
A0A2I2UE55,C-type lectin domain containing 7A,CLEC7A,22,22.7,23
A0A337SW69,C-type lectin domain containing 7A,CLEC7A,19.8,15,14.9
M3WNY6,Chloride intracellular channel protein,CLIC1,21.9,20.5,20.6
A0A337SD38,Chloride intracellular channel protein,CLIC4,23.7,21.1,21.1
A0A2I2UVX8,Chloride intracellular channel protein,CLIC5,19.1,16.2,16.1
M3VW19,CXADR like membrane protein,CLMP,20.6,18.1,17.1
A0A2I2U499,Battenin,CLN3,17.7,20.4,22.3
A0A2I2UWU9,CLN5 intracellular trafficking protein,CLN5,23.3,19.2,18.8
M3W2V0,Apolipoprotein E,CLPTM1 APOE,24.1,25.7,25.9
A0A337S9Y3,Apolipoprotein E,CLPTM1 APOE,24.1,24.3,24.8
M3VU87,Calsyntenin-3,CLSTN3,21.3,20.7,20.3
M3WKP2,Clusterin,CLU,23.3,23.9,23.9
A0A5F5XGP3,Clusterin,CLU,29,29.4,29.3
A0A5F5XKE9,Cytidine/uridine monophosphate kinase 2,CMPK2,22.2,19.9,21.6
A0A337SUS1,Carnosine dipeptidase 2,CNDP2,23.3,21.7,20.8
M3W9A2,Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Threonyl dipeptidase),CNDP2,22.6,19.1,19.1
A0A337SGM0,Metal transporter,CNNM4 CNNM3,20.3,15.8,16.9
M3WWG3,"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)",CNP,19.1,19.4,19.2
A0A337RVG5,Ciliary neurotrophic factor receptor subunit alpha,CNTFR,23.2,21.2,21
A0A2I2U968,Contactin-1,CNTN1,21.3,18.8,19.2
A0A2I2UN28,Cochlin,COCH,28.8,17,17.2
M3WFG2,Cochlin,COCH,18,15.3,15.6
A0A337S496,Collagen type XI alpha 1 chain,COL11A1,21.7,17.7,17.3
A0A2I2U432,Collagen type XII alpha 1 chain,COL12A1,27.3,23.7,23.5
A0A337RZD5,Collagen type XIV alpha 1 chain,COL14A1,23.6,22,21.8
A0A337RV83,Collagen type XV alpha 1 chain,COL15A1,25.8,22.3,22
A0A5F5XC75,Collagen type XVIII alpha 1 chain,COL18A1,25.2,21.3,21.6
M3W2F5,Collagen type I alpha 1 chain,COL1A1,23.1,17.5,17.9
A0A5F5XYM1,Collagen type I alpha 2 chain,COL1A2,23.1,18.3,19.3
M3WVN3,Collagen type I alpha 2 chain,COL1A2,20.9,17.1,16.9
M3WPE0,Collagen type XXVIII alpha 1 chain,COL28A1,21.5,11.7,11.3
A0A5F5Y1B8,Collagen type III alpha 1 chain,COL3A1,24.2,20.9,20.4
A0A5F5Y4J4,Collagen type IV alpha 1 chain,COL4A1,19.7,17.3,17.3
A0A5F5XGS9,Collagen type IV alpha 2 chain,COL4A2,23.3,20.1,20.3
A0A337RYM9,Collagen type IV alpha 3 chain,COL4A3,20.3,18.3,18.8
A0A337SN04,Collagen type IV alpha 5 chain,COL4A5,21.4,21,19.5
A0A2I2UD65,Collagen type V alpha 2 chain,COL5A2,25.8,25.2,23.5
A0A5F5XGI4,Collagen type V alpha 3 chain,COL5A3,23.3,18.7,18.8
M3WLD9,Collagen type VI alpha 1 chain,COL6A1,20.7,19.2,19
A0A2I2U2C4,Collagen type VI alpha 2 chain,COL6A2,21.9,19.3,19.1
A0A337S4V9,Collagen type VI alpha 3 chain,COL6A3,27.7,21.2,21.3
A0A337RW59,Collagen type VI alpha 3 chain,COL6A3,27.1,24.4,24.6
M3WHG4,Collagen type VI alpha 3 chain,COL6A3,24.5,19.2,18.7
A0A2I2U7G3,Collagen type VIII alpha 1 chain,COL8A1,19.8,16.2,16.3
A0A2I2UH03,Collectin subfamily member 10,COLEC10,17.5,18.4,18.7
A0A2I2U3V7,Collectin-11,COLEC11,20.6,20.9,21.4
A0A2I2U1P2,Collectin-12,COLEC12,27.3,22.2,23.9
M3WN82,Collectin-12,COLEC12,18.7,15.3,15.3
A0A5F5XKH5,Cartilage oligomeric matrix protein,COMP,17.1,16.1,15.2
A0A337S2A4,Cartilage oligomeric matrix protein,COMP,23.2,21.9,22.6
M3VWP9,Coatomer subunit beta',COPB2,21.7,19,17.7
A0A337RVF9,ADF-H domain-containing protein,COTL1,25.5,22.5,22
A0A2I2U8E4,ferroxidase (EC 1.16.3.1),CP,27.8,28.4,28.9
A0A5F5XZM2,Carboxypeptidase A1,CPA1,24.7,22.3,22.5
M3WKB7,Carboxypeptidase A1 (EC 3.4.17.1),CPA1,23.4,20.5,20.7
A0A2I2U0Y4,Carboxypeptidase B (EC 3.4.17.2),CPB1,23,19.6,19.5
A0A2I2UAE6,Carboxypeptidase B2,CPB2,23.8,24.4,24.6
A0A337SN31,Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D),CPD,20.6,20.4,19.7
M3WGH2,Carboxypeptidase E (EC 3.4.17.10) (Carboxypeptidase H) (Enkephalin convertase) (Prohormone-processing carboxypeptidase),CPE,23.4,23.8,24.4
M3WMF1,Carboxypeptidase N subunit 2,CPN2,24.7,26.3,26.4
A0A2I2V326,Copine 1,CPNE1,21.7,17.7,17.8
A0A337SJW2,Copine 3,CPNE3,24.4,21.5,21.6
A0A2I2U0K1,Copine 4,CPNE4,22.5,17.3,17.7
A0A337SEH6,"Carboxypeptidase X, M14 family member 2",CPXM2,18.8,18.1,15.9
U5TLB4,CPXV028 protein,CPXV028,21,20.7,20.8
A0A0K2YWB3,CPXV211 protein,CPXV211,18.5,17,16.5
A0A337SSG2,Carboxypeptidase Z,CPZ,20.4,16.4,18.6
A0A337SJR3,Complement C3d receptor 2,CR2,20.6,17.8,18.1
A0A337SV16,Crumbs cell polarity complex component 1,CRB1,21.5,15.6,16
A0A337SRL8,Crumbs cell polarity complex component 2,CRB2,24.6,23.2,23.7
A0A5F5XYI6,Cyclic AMP-responsive element-binding protein 3-like protein 2,CREB3L2,15,14.2,15.5
M3WK50,cAMP responsive element binding protein 3 like 3,CREB3L3,23.8,20.4,21
A0A5F5XJY1,Cellular repressor of E1A stimulateds 1,CREG1,22,19.7,20.4
A0A337S172,Cysteine rich transmembrane BMP regulator 1,CRIM1,21.9,19.5,18.7
M3WNB8,Cysteine rich protein 1,CRIP1,17.5,16.6,15.4
A0A2I2UC81,Cysteine rich secretory protein 3,CRISP3,29.5,19.6,19.7
A0A5F5XVE8,Cysteine rich secretory protein 3,CRISP3,16,18.9,18.3
A0A5F5Y1N6,Cysteine rich secretory protein 3,CRISP3,13,18.9,18.4
A0A337SBA6,Adapter molecule crk,CRK,22.3,21.1,20.1
M3W544,"CRK like proto-oncogene, adaptor protein",CRKL,16.3,16,16.4
A0A5F5XWB9,Pentraxin family member,CRP,26.7,27.3,27
A0A2I2UDI7,Cartilage acidic protein 1,CRTAC1,27.2,22,21.8
A0A5F5XI25,L-gulonate 3-dehydrogenase (EC 1.1.1.45) (L-gulonate 3-dehydrogenase),CRYL1,21.6,18,18.4
A0A5F5XUR3,Ketimine reductase mu-crystallin (EC 1.5.1.25) (NADP-regulated thyroid-hormone-binding protein),CRYM,16.7,13.7,13.7
A0A337SVX9,Crystallin zeta,CRYZ,18.9,19.2,18.6
A0A337SMK6,Colony stimulating factor 1,CSF1,22.6,20.1,21
P13369,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115),CSF1R FMS,18.1,13.6,13.1
M3WGW7,Chondroitin sulfate proteoglycan 4,CSPG4,26.2,20.7,20.6
D5MTH1,Cystatin C,CST3,23,20.7,21
M3WIK5,Cystatin E/M,CST6,27.4,21.1,20.9
Q8WNR9,Cystatin-A (allergen Fel d 3),CSTA,21.5,18,17.6
A0A337SE08,Cystatin domain-containing protein,CSTB,21.5,16.5,16.8
A0A337SJE3,Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase),CTH,24.2,22.9,22
A0A337SHY2,Collagen triple helix repeat containing 1,CTHRC1,21.4,20.7,20.2
A0A2I2U5B1,Catenin beta-1 (Beta-catenin),CTNNB1,18.6,17.5,17.9
A0A5F5XDM8,Chymotrypsin C,CTRC,25.7,20.6,20.7
M3W019,Chymotrypsin C,CTRC,24.1,17.2,18.4
M3WHR1,Chymotrypsin like,CTRL,22.7,20,20.7
A0A337SMR1,Carboxypeptidase (EC 3.4.16.-),CTSA,23.5,22,21.6
M3WLU0,Cathepsin B (EC 3.4.22.1),CTSB,25.2,22.7,23.1
M3W9M0,Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (Dipeptidyl transferase),CTSC,25.2,21.5,21.4
M3W8G3,Cathepsin D (EC 3.4.23.5),CTSD,26,20.9,21.2
M3W7M8,Cathepsin F,CTSF,20.8,19.1,18.9
M3WGI2,Pro-cathepsin H,CTSH,20.5,13.8,14
A0A337SUC3,Pro-cathepsin H,CTSH,21.6,19.7,19.7
M3W0Q2,Cathepsin K (EC 3.4.22.38),CTSK,18.3,18.9,19.1
M3WUC1,Cathepsin O,CTSO,21.8,18.9,17.9
A0A337RZ12,Cathepsin S,CTSS,25,20.2,20
M3W0Q1,Cathepsin S (EC 3.4.22.27),CTSS,23.9,18.1,17.9
A0A5F5XBP7,cathepsin X (EC 3.4.18.1),CTSZ,26.1,19.7,18.9
M3VVI7,cathepsin X (EC 3.4.18.1),CTSZ,25.5,20.1,18.5
M3WJ25,Cubilin,CUBN,29.2,25.7,25.6
A0A2I2UJG2,CutA divalent cation tolerance homolog,CUTA,20,15.2,15.7
A0A2I2UQ66,CXADR Ig-like cell adhesion molecule,CXADR,24.2,20.8,20.8
O62657,Stromal cell-derived factor 1 (SDF-1) (C-X-C motif chemokine 12),CXCL12 SDF1,22.1,19.4,20.5
M3WSR7,C-X-C motif chemokine 16 (Transmembrane chemokine CXCL16),CXCL16,22,18.5,18.1
M3VWB9,Cysteine-rich and transmembrane domain-containing protein 1,CYSTM1,22,20,19.9
A0A337S6Y2,DAB adaptor protein 2,DAB2,22,19.9,19.2
A0A337SFQ4,Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1),DAG1,23.7,22,22.2
A0A2I2U6R0,Acyl-CoA-binding protein,DBI,22.1,16.2,17.1
A0A337SMV2,"Discoidin, CUB and LCCL domain containing 2",DCBLD2,22.8,18,18
A0A337S0Q6,Decorin (Bone proteoglycan II),DCN,20.1,16.5,16.5
M3WFI7,L-xylulose reductase (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase),DCXR,19.7,16.3,16.4
A0A2I2U3S0,Dimethylarginine dimethylaminohydrolase 1,DDAH1,22.6,20.1,19.7
M3XC02,Dimethylarginine dimethylaminohydrolase 2,DDAH2,26,23.8,23.2
A0A337SE70,receptor protein-tyrosine kinase (EC 2.7.10.1),DDR1,24.1,21.8,22
A0A2I2UUM4,"Beta-defensin 1 (Defensin, beta 1)",DEFB1,25.8,17.2,16.6
A0A337S785,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.1.1.179) (EC 1.3.1.20) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (Dimeric dihydrodiol dehydrogenase)",DHDH,25.8,23,23.4
A0A337SIN6,Delta like non-canonical Notch ligand 1,DLK1,22.2,16.4,16.1
A0A2I2U119,Delta like non-canonical Notch ligand 1,DLK1,23.7,17.1,17
M3X710,Delta like non-canonical Notch ligand 2,DLK2,23.9,20.9,21.3
M3W5T1,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (E2K)",DLST,23.2,18.9,19.3
A0A5F5XLL3,Dermokine,DMKN,19.6,14.3,12.8
A0A5F5XE39,Dermokine,DMKN,21.9,18.4,18.5
A0A337S6Z7,Dentin matrix acidic phosphoprotein 1,DMP1,16.4,10.2,10.3
A0A5F5XJC4,Dynein axonemal heavy chain 11,DNAH11,24,23.2,23.1
A0A5F5XEB8,Dynein axonemal heavy chain 8,DNAH8,21.7,21,20.7
A0A337S1A5,DnaJ heat shock protein family (Hsp40) member C11,DNAJC11,17.9,18.9,18.3
A0A5F5XF61,DnaJ heat shock protein family (Hsp40) member C28,DNAJC28,16.6,19.3,18
M3WGM9,Deoxyribonuclease,DNASE1,30.8,20.9,22.8
A0A2I2UNJ5,Deoxyribonuclease 1 like 2,DNASE1L2,22.3,17.7,17.9
M3VUU5,Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (Lysosomal DNase II),DNASE2,24.3,19.2,19.1
A0A5F5XGS4,Docking protein 7,DOK7,21.9,16.5,17
M3W0Z1,Dipeptidase (EC 3.4.13.19),DPEP1,24.6,22.6,22.2
A0A337S046,Dipeptidyl peptidase like 10,DPP10,16.2,12.9,11.8
Q9N2I7,Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],DPP4 CD26,29,22,21.5
A0A5F5XVS8,Dipeptidyl peptidase 7,DPP7,25.6,21,21.3
M3XE34,Dermatopontin,DPT,28.9,20.3,20.1
A0A2I2U844,Dihydropyrimidinase,DPYS,23.5,19.9,20
A0A5F5XFR8,Dihydropyrimidinase,DPYS,21,17.8,18.6
A0A2I2UZA9,Desmocollin 1,DSC1,25.2,19.9,19.5
A0A2I2UGD4,Desmocollin 2,DSC2,24.8,24.2,24.4
A0A2I2UCR1,Desmocollin 2,DSC2,21.5,19.7,19.6
A0A337SP25,Desmoglein 1,DSG1,21.5,19,18.4
M3WCK3,Desmoplakin,DSP,22.6,22.9,21.2
A0A2I2UFE0,Destrin (Actin-depolymerizing factor),DSTN,21.4,16.7,16.2
M3WM59,"Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase)",ECHS1,18.8,18.1,17.9
M3W858,Enoyl-CoA delta isomerase 1,ECI1,15.7,15.3,15.4
M3WRY2,Extracellular matrix protein 1,ECM1,25.1,27.4,26.3
A0A337SPQ5,Ectodysplasin A receptor,EDAR,20,16.9,17.8
A0A337SND7,Endothelin-3 (Preproendothelin-3),EDN3,22.4,14.5,15
A0A337SDI4,Endothelin receptor type B (Endothelin receptor non-selective type),EDNRB,17.5,17,16
A0A2I2U0I8,Early endosome antigen 1,EEA1,22.1,16.8,17
Q66RN5,Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1),EEF1A1 EEF1A,24.8,24.7,24.4
M3W2D2,EF-hand calcium binding domain 14,EFCAB14,16.9,16.8,18.1
M3VVE6,EGF containing fibulin extracellular matrix protein 1,EFEMP1,28.2,25.5,25.3
A0A337SCW7,EGF containing fibulin extracellular matrix protein 2,EFEMP2,24.6,22.9,23
A0A337SFI6,Elongation factor like GTPase 1,EFL1,19.3,19.4,19.6
A0A337S356,Ephrin-A1,EFNA1,26.3,17.8,18.3
A0A337SBN3,Ephrin A4,EFNA4,23.6,18.1,18.3
A0A337S0H8,EPH-related receptor tyrosine kinase ligand 7,EFNA5,20.2,22.2,21.7
M3WR70,Ephrin-B1,EFNB1,24.4,22.8,21.1
B0LDS5,Ephrin-B2,efnB2,24.7,22.6,21.9
A0A337SFQ1,Ephrin B3,EFNB3,22.9,22.2,19.3
Q95ND4,Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor],EGF,30.2,24.3,23.9
A0A2I2U1L8,Pro-epidermal growth factor,EGF,20.5,13.9,13.9
A0A0P0GH12,receptor protein-tyrosine kinase (EC 2.7.10.1),EGFR,18.9,18.9,18.4
A0A337S424,Receptor protein-tyrosine kinase (EC 2.7.10.1),EGFR,20.2,22.5,22.4
M3X1U0,EH domain containing 1,EHD1,22.5,22.4,22.2
M3WXE7,EH domain containing 4,EHD4,20.6,19.6,20
A0A5F5XQI4,Choline transporter-like protein,EHMT2,20.7,17.5,16.1
A0A2I2UKH0,Choline transporter-like protein,EHMT2,17.2,15.8,16.3
M3XDI4,Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Hemin-sensitive initiation factor 2-alpha kinase),EIF2AK1,20,20.8,20.8
M3WCG8,Translation initiation factor eIF2B subunit gamma (eIF2B GDP-GTP exchange factor subunit gamma),EIF2B3,23.2,19,19
A0A2I2U322,Eukaryotic translation initiation factor 4 gamma 3,EIF4G3,18.2,19,18.1
A0A5F5XCL3,Eukaryotic translation initiation factor 5,EIF5,19,14.8,14.5
A0A337RZ59,Eukaryotic translation initiation factor 5A-1 (Eukaryotic initiation factor 5A isoform 1) (eIF-4D),EIF5A,17.8,14.4,16.1
M3W5W5,Eukaryotic translation initiation factor 6 (eIF-6),EIF6 ITGB4BP,24.7,20.6,21.3
M3XDQ5,"Elastase, neutrophil expressed",ELANE,17.3,13.1,14.5
A0A5F5XSQ0,"Elastase, neutrophil expressed",ELANE,25.1,16.8,17.7
A0A2I2UVP6,EMAP like 5,EML5,21.5,18,18.6
M3XGC9,Endonuclease domain containing 1,ENDOD1,21.2,20.2,20.2
A0A2I2UTE6,phosphopyruvate hydratase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase),ENO1,22.1,19.5,19.4
A0A337S0P1,phosphopyruvate hydratase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase),ENO1,18.9,12.4,12.4
A0A2I2UHT3,phosphopyruvate hydratase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase),ENO2,20.4,17.2,17.6
A0A2I2UJ14,Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (Skeletal muscle enolase),ENO3,21.9,19.6,20
A0A2I2V5H4,Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase),ENO4,20.7,16,17.4
M3VU18,Aminopeptidase (EC 3.4.11.-),ENPEP,25.6,21.1,21.5
A0A2I2V3L7,Ectonucleotide pyrophosphatase/phosphodiesterase 2,ENPP2,22,20.8,21.1
A0A2I2V568,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (EC 3.1.4.1) (EC 3.6.1.9) (Phosphodiesterase I beta) (Phosphodiesterase I/nucleotide pyrophosphatase 3),ENPP3,24,21.5,21.6
A0A2I2U6N9,bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4),ENPP4,17.9,10.1,10
M3X1B4,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5,20.3,21.3,21.4
M3VWW1,glycerophosphocholine cholinephosphodiesterase (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6),ENPP6,23.9,20.1,20.1
P11261,Envelope glycoprotein (Env polyprotein) [Cleaved into: Surface protein (SU) (Glycoprotein 70) (gp70); Transmembrane protein (TM) (Envelope protein p15E); R-peptide (p2E)],env,20.5,20.6,20.4
A0A0D5ZXZ6,Env protein,env,12.5,11.8,10.6
M3WIV4,Epithelial cell adhesion molecule (Tumor-associated calcium signal transducer 1),EPCAM,23.2,19.8,20.2
A0A5F5XZT1,receptor protein-tyrosine kinase (EC 2.7.10.1),EPHA1,24.8,20.5,20.5
A0A2I2UHA0,EPH receptor A10,EPHA10,18.3,13.7,12.3
A0A2I2UV62,receptor protein-tyrosine kinase (EC 2.7.10.1),EPHA4,21.7,18.5,18.5
A0A2I2UTP3,receptor protein-tyrosine kinase (EC 2.7.10.1),EPHA5,21,10,10.3
A0A5F5XNL0,receptor protein-tyrosine kinase (EC 2.7.10.1),EPHA7,23.4,20.6,19.7
