"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"110","A0A337SF88","A0A337SF88","ANXA6","Annexin","Inferred from homology","2","zymogen granule membrane [GO:0042589]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]","GO:0005509; GO:0005544; GO:0042589",NA
"111","A0A5F5XRH7","A0A5F5XRH7","ANXA6","Annexin","Inferred from homology","3","cytoplasm [GO:0005737]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; sarcolemma [GO:0042383]; vesicle membrane [GO:0012506]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; cholesterol binding [GO:0015485]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; ligand-gated monoatomic ion channel activity [GO:0015276]; phosphatidylserine binding [GO:0001786]; apoptotic signaling pathway [GO:0097190]; calcium ion transport [GO:0006816]; mitochondrial calcium ion homeostasis [GO:0051560]; negative regulation of sequestering of calcium ion [GO:0051283]; regulation of muscle contraction [GO:0006937]","GO:0001786; GO:0005509; GO:0005525; GO:0005544; GO:0005737; GO:0005739; GO:0005765; GO:0006816; GO:0006937; GO:0012506; GO:0015276; GO:0015485; GO:0031902; GO:0042383; GO:0042470; GO:0042802; GO:0048306; GO:0048471; GO:0051283; GO:0051560; GO:0097190",NA
"112","A0A2I2UN04","A0A2I2UN04","ANXA7","Annexin","Inferred from homology","2","calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]","GO:0005509; GO:0005544",NA
"113","A0A2I2U0U5","A0A2I2U0U5","AOC2","Amine oxidase (EC 1.4.3.-)","Inferred from homology","2","plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; primary amine oxidase activity [GO:0008131]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]","GO:0005507; GO:0005886; GO:0008131; GO:0009308; GO:0048038",NA
"114","A0A337SWK3","A0A337SWK3","AOC3","Amine oxidase (EC 1.4.3.-)","Inferred from homology","3","early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; primary amine oxidase activity [GO:0008131]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]; response to antibiotic [GO:0046677]","GO:0005507; GO:0005769; GO:0005783; GO:0005794; GO:0005886; GO:0008131; GO:0009308; GO:0046677; GO:0048038",NA
"115","A0A2I2U7C2","A0A2I2U7C2","AP1B1","Adaptor related protein complex 1 subunit beta 1","Inferred from homology","1","clathrin adaptor complex [GO:0030131]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]","GO:0006886; GO:0016192; GO:0030131",NA
"116","A0A337SCH1","A0A337SCH1","APBB1 HPX","Amyloid beta protein binding family B member 1","Predicted","2","amyloid-beta binding [GO:0001540]","GO:0001540",NA
"117","A0A5F5XCW1","A0A5F5XCW1","APBB1 HPX","Amyloid beta protein binding family B member 1","Predicted","1","extracellular region [GO:0005576]","GO:0005576",NA
"118","M3W2J4","M3W2J4","APBB1 HPX","Amyloid beta protein binding family B member 1","Predicted","1","extracellular region [GO:0005576]","GO:0005576",NA
"119","A0A5F5XQY3","A0A5F5XQY3","APLP1","Amyloid beta like protein 1","Inferred from homology","2","endomembrane system [GO:0012505]; membrane [GO:0016020]; heparin binding [GO:0008201]; transition metal ion binding [GO:0046914]","GO:0008201; GO:0012505; GO:0016020; GO:0046914",NA
"120","A0A2I2UM58","A0A2I2UM58","APLP2","Amyloid beta like protein 2","Inferred from homology","2","endomembrane system [GO:0012505]; membrane [GO:0016020]; heparin binding [GO:0008201]; serine-type endopeptidase inhibitor activity [GO:0004867]; transition metal ion binding [GO:0046914]","GO:0004867; GO:0008201; GO:0012505; GO:0016020; GO:0046914",NA
"121","A0A337S837","A0A337S837","APOA1","Apolipoprotein A-I (Apolipoprotein A1)","Inferred from homology","2","high-density lipoprotein particle [GO:0034364]; lipid binding [GO:0008289]; cholesterol metabolic process [GO:0008203]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]","GO:0006869; GO:0008203; GO:0008289; GO:0034364; GO:0042157",NA
"122","M3WPG6","M3WPG6","APOA1","Apolipoprotein A-I (Apolipoprotein A1)","Inferred from homology","5","chylomicron [GO:0042627]; endocytic vesicle [GO:0030139]; extracellular vesicle [GO:1903561]; high-density lipoprotein particle [GO:0034364]; low-density lipoprotein particle [GO:0034362]; spherical high-density lipoprotein particle [GO:0034366]; very-low-density lipoprotein particle [GO:0034361]; amyloid-beta binding [GO:0001540]; apolipoprotein A-I receptor binding [GO:0034191]; chemorepellent activity [GO:0045499]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; high-density lipoprotein particle binding [GO:0008035]; high-density lipoprotein particle receptor binding [GO:0070653]; identical protein binding [GO:0042802]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; acylglycerol homeostasis [GO:0055090]; adrenal gland development [GO:0030325]; blood vessel endothelial cell migration [GO:0043534]; cholesterol biosynthetic process [GO:0006695]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol import [GO:0070508]; cholesterol metabolic process [GO:0008203]; endothelial cell proliferation [GO:0001935]; G protein-coupled receptor signaling pathway [GO:0007186]; glucocorticoid metabolic process [GO:0008211]; high-density lipoprotein particle assembly [GO:0034380]; high-density lipoprotein particle remodeling [GO:0034375]; integrin-mediated signaling pathway [GO:0007229]; lipid storage [GO:0019915]; lipoprotein biosynthetic process [GO:0042158]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of cytokine production involved in immune response [GO:0002719]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; negative regulation of very-low-density lipoprotein particle remodeling [GO:0010903]; phosphatidylcholine biosynthetic process [GO:0006656]; phospholipid efflux [GO:0033700]; phospholipid homeostasis [GO:0055091]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of cholesterol metabolic process [GO:0090205]; positive regulation of phagocytosis [GO:0050766]; positive regulation of phospholipid efflux [GO:1902995]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein stabilization [GO:0050821]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of intestinal cholesterol absorption [GO:0030300]; regulation of protein phosphorylation [GO:0001932]; reverse cholesterol transport [GO:0043691]; triglyceride homeostasis [GO:0070328]; vitamin transport [GO:0051180]","GO:0001540; GO:0001932; GO:0001935; GO:0002719; GO:0005543; GO:0006656; GO:0006695; GO:0007186; GO:0007229; GO:0008035; GO:0008203; GO:0008211; GO:0010804; GO:0010875; GO:0010903; GO:0015485; GO:0019899; GO:0019915; GO:0030139; GO:0030300; GO:0030325; GO:0031072; GO:0032489; GO:0032691; GO:0033344; GO:0033700; GO:0034115; GO:0034191; GO:0034361; GO:0034362; GO:0034364; GO:0034366; GO:0034375; GO:0034380; GO:0035025; GO:0042158; GO:0042627; GO:0042632; GO:0042802; GO:0043534; GO:0043691; GO:0045499; GO:0050728; GO:0050766; GO:0050821; GO:0051180; GO:0051496; GO:0055090; GO:0055091; GO:0060228; GO:0060354; GO:0070328; GO:0070508; GO:0070653; GO:0090205; GO:0120020; GO:1900026; GO:1902995; GO:1903561",NA
"123","M3W955","M3W955","APOA4","Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)","Inferred from homology","4","chylomicron [GO:0042627]; extracellular vesicle [GO:1903561]; high-density lipoprotein particle [GO:0034364]; low-density lipoprotein particle [GO:0034362]; very-low-density lipoprotein particle [GO:0034361]; cholesterol transfer activity [GO:0120020]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; acylglycerol homeostasis [GO:0055090]; cholesterol efflux [GO:0033344]; cholesterol metabolic process [GO:0008203]; lipoprotein metabolic process [GO:0042157]; phospholipid efflux [GO:0033700]","GO:0005543; GO:0008203; GO:0033344; GO:0033700; GO:0034361; GO:0034362; GO:0034364; GO:0042157; GO:0042627; GO:0055090; GO:0060228; GO:0120020; GO:1903561",NA
"124","A0A337SHX7","A0A337SHX7","APOB","Apolipoprotein B","Predicted","2","cytoplasm [GO:0005737]; lipid droplet [GO:0005811]; low-density lipoprotein particle [GO:0034362]; lipid transporter activity [GO:0005319]; lipid metabolic process [GO:0006629]","GO:0005319; GO:0005737; GO:0005811; GO:0006629; GO:0034362",NA
"125","P0DM82","P0DM82","APOC1","Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]","Inferred from homology","3","high-density lipoprotein particle [GO:0034364]; very-low-density lipoprotein particle [GO:0034361]; fatty acid binding [GO:0005504]; phospholipase inhibitor activity [GO:0004859]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]; negative regulation of cholesterol transport [GO:0032375]; negative regulation of lipid catabolic process [GO:0050995]; negative regulation of very-low-density lipoprotein particle clearance [GO:0010916]; triglyceride metabolic process [GO:0006641]; very-low-density lipoprotein particle clearance [GO:0034447]","GO:0004859; GO:0005504; GO:0006641; GO:0006869; GO:0010916; GO:0032375; GO:0034361; GO:0034364; GO:0034447; GO:0042157; GO:0050995",NA
"126","M3WNX1","M3WNX1","APOC2","Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2)","Inferred from homology","2","chylomicron [GO:0042627]; high-density lipoprotein particle [GO:0034364]; low-density lipoprotein particle [GO:0034362]; very-low-density lipoprotein particle [GO:0034361]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; lipid catabolic process [GO:0016042]; lipid transport [GO:0006869]; positive regulation of phospholipid catabolic process [GO:0060697]","GO:0006869; GO:0016004; GO:0016042; GO:0034361; GO:0034362; GO:0034364; GO:0042627; GO:0043274; GO:0060697",NA
"127","M3WSC8","M3WSC8","APOC3","Apolipoprotein C-III (Apolipoprotein C3)","Inferred from homology","4","chylomicron [GO:0042627]; intermediate-density lipoprotein particle [GO:0034363]; spherical high-density lipoprotein particle [GO:0034366]; very-low-density lipoprotein particle [GO:0034361]; high-density lipoprotein particle receptor binding [GO:0070653]; lipase inhibitor activity [GO:0055102]; phospholipid binding [GO:0005543]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; chylomicron remnant clearance [GO:0034382]; G protein-coupled receptor signaling pathway [GO:0007186]; high-density lipoprotein particle remodeling [GO:0034375]; lipoprotein metabolic process [GO:0042157]; negative regulation of cholesterol import [GO:0060621]; negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of high-density lipoprotein particle clearance [GO:0010987]; negative regulation of low-density lipoprotein particle clearance [GO:0010989]; negative regulation of receptor-mediated endocytosis [GO:0048261]; negative regulation of triglyceride catabolic process [GO:0010897]; negative regulation of very-low-density lipoprotein particle clearance [GO:0010916]; negative regulation of very-low-density lipoprotein particle remodeling [GO:0010903]; phospholipid efflux [GO:0033700]; regulation of Cdc42 protein signal transduction [GO:0032489]; triglyceride catabolic process [GO:0019433]; triglyceride homeostasis [GO:0070328]","GO:0005543; GO:0007186; GO:0010897; GO:0010903; GO:0010916; GO:0010987; GO:0010989; GO:0019433; GO:0032489; GO:0033344; GO:0033700; GO:0034361; GO:0034363; GO:0034366; GO:0034375; GO:0034382; GO:0042157; GO:0042627; GO:0042632; GO:0045717; GO:0048261; GO:0055102; GO:0060621; GO:0070328; GO:0070653",NA
"128","M3W2V3","M3W2V3","APOC4","Apolipoprotein C-IV (Apolipoprotein C4)","Inferred from homology","2","high-density lipoprotein particle [GO:0034364]; very-low-density lipoprotein particle [GO:0034361]; positive regulation of sequestering of triglyceride [GO:0010890]; triglyceride homeostasis [GO:0070328]","GO:0010890; GO:0034361; GO:0034364; GO:0070328",NA
"129","M3X8P7","M3X8P7","APOD","Apolipoprotein D (Apo-D)","Inferred from homology","3","cytoplasm [GO:0005737]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; cholesterol binding [GO:0015485]; brain development [GO:0007420]; glucose metabolic process [GO:0006006]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of lipoprotein lipid oxidation [GO:0060588]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of smooth muscle cell-matrix adhesion [GO:2000098]; negative regulation of T cell migration [GO:2000405]; response to reactive oxygen species [GO:0000302]; tissue regeneration [GO:0042246]","GO:0000302; GO:0005615; GO:0005737; GO:0006006; GO:0006629; GO:0006869; GO:0007420; GO:0010642; GO:0015485; GO:0042246; GO:0042308; GO:0048471; GO:0048662; GO:0051895; GO:0060588; GO:0071638; GO:1900016; GO:2000098; GO:2000405",NA
"130","A0A5F5XHD8","A0A5F5XHD8","APOH","Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I)","Predicted","2","heparin binding [GO:0008201]","GO:0008201",NA
"131","A0A5F5XPI7","A0A5F5XPI7","APOH","Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I)","Predicted","2","heparin binding [GO:0008201]","GO:0008201",NA
"132","A0A2I2U3L7","A0A2I2U3L7","APOM","Apolipoprotein M","Inferred from homology","2","high-density lipoprotein particle [GO:0034364]; lipid transport [GO:0006869]","GO:0006869; GO:0034364",NA
"133","M3W828","M3W828","APOM","Apolipoprotein M","Inferred from homology","3","discoidal high-density lipoprotein particle [GO:0034365]; high-density lipoprotein particle [GO:0034364]; low-density lipoprotein particle [GO:0034362]; spherical high-density lipoprotein particle [GO:0034366]; very-low-density lipoprotein particle [GO:0034361]; antioxidant activity [GO:0016209]; lipid transporter activity [GO:0005319]; phospholipid binding [GO:0005543]; cholesterol efflux [GO:0033344]; high-density lipoprotein particle assembly [GO:0034380]; high-density lipoprotein particle clearance [GO:0034384]; high-density lipoprotein particle remodeling [GO:0034375]; lipoprotein metabolic process [GO:0042157]; negative regulation of plasma lipoprotein oxidation [GO:0034445]; reverse cholesterol transport [GO:0043691]","GO:0005319; GO:0005543; GO:0016209; GO:0033344; GO:0034361; GO:0034362; GO:0034364; GO:0034365; GO:0034366; GO:0034375; GO:0034380; GO:0034384; GO:0034445; GO:0042157; GO:0043691",NA
"134","A0A0A0MPX8","A0A0A0MPX8","APP","Amyloid-beta A4 protein","Inferred from homology","5","apical part of cell [GO:0045177]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; ciliary rootlet [GO:0035253]; clathrin-coated pit [GO:0005905]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; early endosome [GO:0005769]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; growth cone [GO:0030426]; membrane raft [GO:0045121]; neuromuscular junction [GO:0031594]; nuclear envelope lumen [GO:0005641]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]; receptor complex [GO:0043235]; recycling endosome [GO:0055037]; smooth endoplasmic reticulum [GO:0005790]; spindle midzone [GO:0051233]; synaptic vesicle [GO:0008021]; enzyme binding [GO:0019899]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; PTB domain binding [GO:0051425]; receptor ligand activity [GO:0048018]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor activator activity [GO:0030546]; signaling receptor binding [GO:0005102]; transition metal ion binding [GO:0046914]; adult locomotory behavior [GO:0008344]; amyloid fibril formation [GO:1990000]; astrocyte activation involved in immune response [GO:0002265]; axo-dendritic transport [GO:0008088]; axon midline choice point recognition [GO:0016199]; axonogenesis [GO:0007409]; cellular response to amyloid-beta [GO:1904646]; central nervous system development [GO:0007417]; cholesterol metabolic process [GO:0008203]; collateral sprouting in absence of injury [GO:0048669]; cytosolic mRNA polyadenylation [GO:0180011]; dendrite development [GO:0016358]; endocytosis [GO:0006897]; extracellular matrix organization [GO:0030198]; forebrain development [GO:0030900]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular copper ion homeostasis [GO:0006878]; ionotropic glutamate receptor signaling pathway [GO:0035235]; mating behavior [GO:0007617]; microglia development [GO:0014005]; microglial cell activation [GO:0001774]; modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of neuron differentiation [GO:0045665]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; neuron cellular homeostasis [GO:0070050]; neuron projection maintenance [GO:1990535]; neuron remodeling [GO:0016322]; Notch signaling pathway [GO:0007219]; positive regulation of amyloid fibril formation [GO:1905908]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of chemokine production [GO:0032722]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of glycolytic process [GO:0045821]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of JNK cascade [GO:0046330]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of T cell migration [GO:2000406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of multicellular organism growth [GO:0040014]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; regulation of presynapse assembly [GO:1905606]; regulation of spontaneous synaptic transmission [GO:0150003]; regulation of translation [GO:0006417]; response to oxidative stress [GO:0006979]; smooth endoplasmic reticulum calcium ion homeostasis [GO:0051563]; suckling behavior [GO:0001967]; synaptic assembly at neuromuscular junction [GO:0051124]; visual learning [GO:0008542]","GO:0000086; GO:0000978; GO:0001774; GO:0001967; GO:0002265; GO:0004867; GO:0005102; GO:0005615; GO:0005641; GO:0005769; GO:0005790; GO:0005794; GO:0005798; GO:0005886; GO:0005905; GO:0005911; GO:0006417; GO:0006878; GO:0006897; GO:0006979; GO:0007219; GO:0007409; GO:0007417; GO:0007617; GO:0008021; GO:0008088; GO:0008201; GO:0008203; GO:0008285; GO:0008344; GO:0008542; GO:0009986; GO:0010629; GO:0010800; GO:0010971; GO:0014005; GO:0016199; GO:0016322; GO:0016358; GO:0019899; GO:0030134; GO:0030198; GO:0030426; GO:0030546; GO:0030900; GO:0031594; GO:0032722; GO:0032731; GO:0032755; GO:0032760; GO:0033138; GO:0035235; GO:0035253; GO:0040014; GO:0042802; GO:0043197; GO:0043198; GO:0043204; GO:0043235; GO:0045121; GO:0045177; GO:0045665; GO:0045821; GO:0045944; GO:0046330; GO:0046914; GO:0048018; GO:0048169; GO:0048471; GO:0048669; GO:0048786; GO:0050729; GO:0050730; GO:0050850; GO:0050885; GO:0051124; GO:0051233; GO:0051402; GO:0051425; GO:0051563; GO:0055037; GO:0070050; GO:0070374; GO:0098815; GO:0150003; GO:0180011; GO:1900272; GO:1900273; GO:1901224; GO:1904646; GO:1905606; GO:1905908; GO:1990000; GO:1990535; GO:2000406",NA
"135","A0A2I2UMH4","A0A2I2UMH4","APRT","Adenine phosphoribosyltransferase (EC 2.4.2.7)","Inferred from homology","3","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; adenine binding [GO:0002055]; adenine phosphoribosyltransferase activity [GO:0003999]; AMP binding [GO:0016208]; adenine salvage [GO:0006168]; AMP salvage [GO:0044209]; GMP salvage [GO:0032263]; grooming behavior [GO:0007625]; IMP salvage [GO:0032264]; purine ribonucleoside salvage [GO:0006166]","GO:0002055; GO:0003999; GO:0005654; GO:0005737; GO:0005829; GO:0006166; GO:0006168; GO:0007625; GO:0016208; GO:0032263; GO:0032264; GO:0044209",NA
"136","A0A2I2UAM6","A0A2I2UAM6","AQP1","Aquaporin-1 (Aquaporin-CHIP) (Water channel protein for red blood cells and kidney proximal tubule)","Inferred from homology","5","ankyrin-1 complex [GO:0170014]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; caveola [GO:0005901]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nuclear membrane [GO:0031965]; sarcolemma [GO:0042383]; ammonium transmembrane transporter activity [GO:0008519]; carbon dioxide transmembrane transporter activity [GO:0035379]; ephrin receptor binding [GO:0046875]; glycerol transmembrane transporter activity [GO:0015168]; identical protein binding [GO:0042802]; intracellularly cGMP-activated cation channel activity [GO:0005223]; nitric oxide transmembrane transporter activity [GO:0030184]; potassium channel activity [GO:0005267]; water channel activity [GO:0015250]; camera-type eye morphogenesis [GO:0048593]; carbon dioxide transmembrane transport [GO:0035378]; cellular hyperosmotic response [GO:0071474]; cellular response to cAMP [GO:0071320]; cellular response to copper ion [GO:0071280]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to mechanical stimulus [GO:0071260]; cellular response to mercury ion [GO:0071288]; cellular response to nitric oxide [GO:0071732]; cellular response to retinoic acid [GO:0071300]; cellular response to salt stress [GO:0071472]; cellular response to UV [GO:0034644]; cerebrospinal fluid secretion [GO:0033326]; cGMP-mediated signaling [GO:0019934]; corticotropin secretion [GO:0051458]; defense response to Gram-negative bacterium [GO:0050829]; establishment of localization in cell [GO:0051649]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; fibroblast migration [GO:0010761]; glomerular filtration [GO:0003094]; hyperosmotic response [GO:0006972]; intracellular water homeostasis [GO:0009992]; lateral ventricle development [GO:0021670]; lipid digestion [GO:0044241]; metanephric descending thin limb development [GO:0072220]; metanephric glomerulus vasculature development [GO:0072239]; metanephric proximal convoluted tubule segment 2 development [GO:0072232]; metanephric proximal straight tubule development [GO:0072230]; negative regulation of apoptotic process [GO:0043066]; odontogenesis [GO:0042476]; pancreatic juice secretion [GO:0030157]; positive regulation of angiogenesis [GO:0045766]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of saliva secretion [GO:0046878]; renal water absorption [GO:0070295]; renal water transport [GO:0003097]; secretory granule organization [GO:0033363]; sensory perception of pain [GO:0019233]; transepithelial water transport [GO:0035377]; wound healing [GO:0042060]","GO:0003094; GO:0003097; GO:0005223; GO:0005267; GO:0005737; GO:0005901; GO:0006972; GO:0008519; GO:0009992; GO:0010761; GO:0010763; GO:0015168; GO:0015250; GO:0016323; GO:0016324; GO:0019233; GO:0019934; GO:0021670; GO:0030157; GO:0030184; GO:0030424; GO:0030950; GO:0031526; GO:0031965; GO:0033326; GO:0033363; GO:0034644; GO:0035377; GO:0035378; GO:0035379; GO:0042060; GO:0042383; GO:0042476; GO:0042802; GO:0043066; GO:0044241; GO:0045766; GO:0046875; GO:0046878; GO:0048146; GO:0048593; GO:0050829; GO:0051458; GO:0051649; GO:0070062; GO:0070295; GO:0070301; GO:0071260; GO:0071280; GO:0071288; GO:0071300; GO:0071320; GO:0071456; GO:0071472; GO:0071474; GO:0071549; GO:0071732; GO:0072220; GO:0072230; GO:0072232; GO:0072239; GO:0170014",NA
"137","A0A2I2U5A2","A0A2I2U5A2","AQP2","Aquaporin-2 (ADH water channel) (Aquaporin-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct)","Inferred from homology","4","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; lateral plasma membrane [GO:0016328]; lumenal side of membrane [GO:0098576]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; glycerol transmembrane transporter activity [GO:0015168]; water channel activity [GO:0015250]; actin filament organization [GO:0007015]; cellular response to copper ion [GO:0071280]; cellular response to mercury ion [GO:0071288]; cellular response to water deprivation [GO:0042631]; metanephric collecting duct development [GO:0072205]; protein homotetramerization [GO:0051289]; renal water transport [GO:0003097]; water transport [GO:0006833]","GO:0003097; GO:0005794; GO:0005886; GO:0006833; GO:0007015; GO:0015168; GO:0015250; GO:0016323; GO:0016324; GO:0016328; GO:0030659; GO:0042631; GO:0048471; GO:0051289; GO:0055037; GO:0070062; GO:0071280; GO:0071288; GO:0072205; GO:0098576",NA
"138","M3VUM2","M3VUM2","AREG","Amphiregulin","Predicted","3","cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]; epidermal growth factor receptor binding [GO:0005154]; growth factor activity [GO:0008083]; transmembrane receptor protein tyrosine kinase activator activity [GO:0030297]; dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis [GO:0060598]; epidermal growth factor receptor signaling pathway [GO:0007173]; epithelial cell proliferation involved in mammary gland duct elongation [GO:0060750]; ERBB2-EGFR signaling pathway [GO:0038134]; G protein-coupled receptor signaling pathway [GO:0007186]; mammary gland alveolus development [GO:0060749]; mammary gland branching involved in thelarche [GO:0060744]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; response to estradiol [GO:0032355]","GO:0005154; GO:0005615; GO:0005634; GO:0005737; GO:0007173; GO:0007186; GO:0008083; GO:0008284; GO:0009986; GO:0016020; GO:0030297; GO:0032355; GO:0038134; GO:0050731; GO:0060598; GO:0060744; GO:0060749; GO:0060750",NA
"139","A0A2I2U8Y1","A0A2I2U8Y1","ARF3","ADP-ribosylation factor 3","Inferred from homology","2","Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]","GO:0003924; GO:0005525; GO:0005794; GO:0005886; GO:0006886; GO:0016192",NA
"140","M3VXU3","M3VXU3","ARG1","Arginase (EC 3.5.3.1)","Inferred from homology","2","arginase activity [GO:0004053]; metal ion binding [GO:0046872]; arginine metabolic process [GO:0006525]; urea cycle [GO:0000050]","GO:0000050; GO:0004053; GO:0006525; GO:0046872",NA
"141","A0A2I2UBL3","A0A2I2UBL3","ARHGDIA","Rho GDP-dissociation inhibitor 1 (Rho-GDI alpha)","Inferred from homology","2","cytosol [GO:0005829]; membrane [GO:0016020]; Rho GDP-dissociation inhibitor activity [GO:0005094]; Rho protein signal transduction [GO:0007266]","GO:0005094; GO:0005829; GO:0007266; GO:0016020",NA
